タイトル,機関名,リポジトリ名,対象年,対象月,総件数,本文あり件数,DOI付与件数,embargoed access(全件数),metadata only access(全件数),restricted access(全件数),open access(全件数),abstract(全件数),fulltext(全件数),summary(全件数),thumbnail(全件数),dataset,software,other(objectType)(全件数),conference paper(全件数),data paper(全件数),departmental bulletin paper(全件数),editorial(全件数),journal article(全件数),periodical(全件数),review article(全件数),article(全件数),book(全件数),book part(全件数),cartographic material(全件数),map(全件数),conference object(全件数),conference proceedings(全件数),conference poster(全件数),dataset(全件数),image(全件数),still image(全件数),moving image(全件数),video(全件数),lecture(全件数),patent(全件数),internal report(全件数),report(全件数),research report(全件数),technical report(全件数),policy report(全件数),report part(全件数),working paper(全件数),sound(全件数),thesis(全件数),bachelor thesis(全件数),master thesis(全件数),doctoral thesis(全件数),interactive resource(全件数),learning object(全件数),musical notation(全件数),research proposal(全件数),software(全件数),technical documentation(全件数),workflow(全件数),data management plan(全件数),interview(全件数),manuscript(全件数),newspaper(全件数),software paper(全件数),other(全件数),embargoed access(本文あり),metadata only access(本文あり),restricted access(本文あり),open access(本文あり),abstract(本文あり),fulltext(本文あり),summary(本文あり),thumbnail(本文あり),dataset(本文あり),software(本文あり),other(objectType)(本文あり),conference paper(本文あり),data paper(本文あり),departmental bulletin paper(本文あり),editorial(本文あり),journal article(本文あり),periodical(本文あり),review article(本文あり),article(本文あり),book(本文あり),book part(本文あり),cartographic material(本文あり),map(本文あり),conference object(本文あり),conference proceedings(本文あり),conference poster(本文あり),dataset(本文あり),image(本文あり),still image(本文あり),moving image(本文あり),video(本文あり),lecture(本文あり),patent(本文あり),internal report(本文あり),report(本文あり),research report(本文あり),technical report(本文あり),policy report(本文あり),report part(本文あり),working paper(本文あり),sound(本文あり),thesis(本文あり),bachelor thesis(本文あり),master thesis(本文あり),doctoral thesis(本文あり),interactive resource(本文あり),learning object(本文あり),musical notation(本文あり),research proposal(本文あり),software(本文あり),technical documentation(本文あり),workflow(本文あり),data management plan(本文あり),interview(本文あり),manuscript(本文あり),newspaper(本文あり),software paper(本文あり),other(本文あり)
2023年01月,山梨大学,山梨大学学術リポジトリ,2023,1,4833,4302,4213,0,219,0,265,0,265,0,0,0,0,0,4,0,2496,0,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,265,0,265,0,0,0,0,0,4,0,2477,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,136
2023年01月,筑波大学,つくばリポジトリ,2023,1,60621,60292,4779,0,584,3,23759,1299,22272,428,0,0,1,210,476,0,21683,1,11495,0,0,1333,464,2,0,0,147,0,0,0,0,0,0,0,0,0,0,0,4112,477,0,0,0,0,17233,0,113,1129,0,194,0,0,0,0,0,0,0,0,0,0,1762,0,258,3,23756,1299,22272,428,0,0,1,210,476,0,21585,1,11478,0,0,1333,464,2,0,0,147,0,0,0,0,0,0,0,0,0,0,0,3939,457,0,0,0,0,17214,0,113,1129,0,193,0,0,0,0,0,0,0,0,0,0,1761
2023年01月,富山大学,富山大学学術情報リポジトリ,2023,1,18774,18435,6914,0,100,0,416,0,416,0,0,0,0,0,68,0,6389,0,1335,0,0,217,473,0,0,0,120,0,0,3,0,0,0,0,0,0,0,0,32,124,0,0,0,0,256,0,0,416,0,2,0,0,0,0,0,0,0,0,0,0,9339,0,0,0,416,0,416,0,0,0,0,0,67,0,6341,0,1334,0,0,217,473,0,0,0,120,0,0,3,0,0,0,0,0,0,0,0,32,121,0,0,0,0,8,0,0,416,0,2,0,0,0,0,0,0,0,0,0,0,9301
2023年01月,聖心女子大学,聖心女子大学学術リポジトリ,2023,1,1816,1023,0,0,793,0,6,0,6,0,0,0,0,0,0,0,1006,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,6,0,6,0,0,0,0,0,0,0,976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,琉球大学,琉球大学学術リポジトリ,2023,1,15655,15651,939,121,0,0,14907,419,14643,147,0,0,0,1038,550,0,7019,0,3189,0,0,218,31,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,2575,121,0,0,14903,419,14643,147,0,0,0,1038,550,0,7018,0,3186,0,0,218,31,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,2575
2023年01月,福岡教育大学,福岡教育大学学術情報リポジトリ,2023,1,2479,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,44,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,44,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,27
2023年01月,玉川大学,玉川大学学術リポジトリ,2023,1,1469,1443,110,0,0,0,23,0,23,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,23,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1
2023年01月,新潟県立大学,新潟県立大学学術リポジトリ,2023,1,1040,1039,11,0,1,0,0,0,0,0,0,0,0,0,2,0,497,0,452,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,497,0,452,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2023年01月,長崎県立大学,長崎県立大学学術リポジトリ,2023,1,1375,1375,0,0,0,0,8,0,8,0,0,0,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,宮崎大学,宮崎大学学術情報リポジトリ,2023,1,6500,5094,0,0,1402,0,295,0,295,0,0,0,0,0,330,0,2494,0,2081,0,0,9,111,0,0,0,30,0,0,4,0,0,0,0,0,0,0,0,462,0,0,0,0,0,66,0,0,295,0,1,0,0,0,0,0,0,0,0,0,0,617,0,0,0,295,0,295,0,0,0,0,0,203,0,2486,0,1032,0,0,5,35,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,453,0,0,0,0,0,60,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,510
